Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day calls,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Churn,Total charges,State group churn
95,408,No,No,0,65,98,190.0,115,11.8,4,4,False,68.13,1
93,510,No,Yes,21,131,115,217.0,86,9.8,3,1,False,46.42999999999999,1
157,408,No,No,0,90,121,241.4,108,9.6,7,3,False,65.09,2
120,408,No,No,0,100,83,119.2,86,8.3,8,1,False,62.61000000000001,3
103,415,No,No,0,117,94,222.8,91,12.6,2,2,False,63.86,2
98,408,No,No,0,117,113,227.7,113,12.1,4,4,False,57.120000000000005,2
125,408,No,No,0,108,90,247.8,114,13.3,7,1,False,53.78999999999999,2
36,510,Yes,Yes,42,89,122,138.3,126,20.0,6,0,True,66.75,3
64,510,No,No,0,83,109,57.5,122,14.2,3,1,False,47.010000000000005,3
74,415,No,No,0,114,48,170.0,115,9.4,4,1,True,76.91000000000001,3
112,510,No,Yes,36,117,82,177.6,118,10.0,3,2,False,43.410000000000004,1
46,408,No,No,0,92,77,200.1,116,13.1,7,1,False,67.59,1
41,408,No,Yes,22,102,86,142.2,123,7.2,3,0,False,56.74,3
121,510,No,No,0,103,117,220.8,103,9.8,4,3,False,60.61,3
193,415,No,No,0,124,95,112.9,89,11.6,3,1,False,48.51,3
130,510,No,No,0,119,98,227.4,117,9.2,5,2,False,48.29,3
85,408,No,No,0,52,104,252.5,106,12.0,3,1,False,68.33999999999999,1
162,415,No,No,0,108,87,154.8,82,9.1,3,4,True,34.84,3
61,510,No,Yes,27,124,103,225.7,129,6.4,6,4,True,56.23,3
92,408,No,No,0,90,123,175.0,86,9.2,4,2,False,42.41,3
131,408,No,Yes,36,115,117,264.7,102,9.5,4,3,False,64.63,1
90,415,No,No,0,92,114,146.9,123,10.9,2,3,False,52.78999999999999,1
78,415,No,No,0,115,140,261.4,120,9.5,3,1,False,73.17999999999999,3
82,408,No,No,0,96,102,206.1,60,7.1,1,4,False,62.34,3
163,408,No,No,0,109,128,206.4,80,9.1,10,1,False,62.46,3
91,510,Yes,No,0,112,83,247.2,130,11.2,3,3,False,50.95,2
75,415,No,Yes,21,97,106,237.5,134,5.3,4,5,False,60.49999999999999,3
91,510,No,No,0,106,113,195.6,129,12.0,3,3,False,64.42999999999999,2
127,510,No,Yes,36,117,76,263.3,71,11.2,8,1,False,56.790000000000006,1
113,415,No,Yes,23,101,60,158.6,59,10.2,5,2,False,57.660000000000004,3
110,510,No,No,0,115,84,193.6,112,12.4,3,1,False,60.8,2
120,415,No,Yes,39,68,97,253.8,116,10.5,4,0,False,67.04,3
157,415,No,Yes,28,107,74,109.7,139,6.8,5,3,False,56.14,3
103,510,No,No,0,47,84,200.5,96,11.7,4,1,False,70.71,2
117,408,Yes,No,0,86,87,249.4,132,14.1,7,2,True,58.53,2
140,415,No,No,0,101,94,110.4,98,14.3,6,3,False,61.86,3
83,408,Yes,No,0,87,126,121.1,105,11.7,4,1,False,73.16,2
145,408,No,Yes,43,97,95,286.9,86,11.1,4,2,False,73.5,1
113,408,No,No,0,99,125,172.3,67,10.6,6,1,False,62.38,1
56,415,No,No,0,112,118,140.5,142,6.9,11,1,False,67.72000000000001,1
96,415,No,No,0,115,46,269.5,87,11.5,4,5,False,71.92,2
151,408,No,No,0,116,138,265.9,101,9.8,4,0,False,69.83,1
83,415,No,No,0,120,116,153.9,114,15.8,7,0,True,87.89,3
139,510,No,Yes,23,129,96,259.2,112,13.7,2,0,False,63.150000000000006,1
115,510,No,Yes,24,124,129,164.8,114,9.6,4,1,False,49.760000000000005,2
87,415,No,No,0,97,108,137.5,101,7.1,5,0,False,45.92,3
141,415,No,No,0,110,111,253.5,103,12.0,6,0,False,72.08999999999999,1
141,510,No,Yes,36,99,116,229.5,105,10.5,5,3,False,65.57,1
62,415,No,No,0,103,122,236.6,82,12.2,1,1,False,42.26,3
146,415,No,No,0,151,89,167.2,91,6.1,3,1,False,56.87,2
92,415,No,Yes,33,92,92,228.7,104,12.1,2,2,False,73.05999999999999,2
185,510,No,Yes,31,126,133,264.8,126,7.5,3,1,False,60.10000000000001,2
148,415,No,No,0,102,128,261.3,90,10.9,3,1,False,69.71000000000001,1
94,408,No,Yes,38,124,116,105.9,73,12.8,4,1,False,53.580000000000005,1
68,408,No,No,0,105,105,97.4,79,13.2,2,1,False,67.25,2
179,408,No,No,0,92,125,244.7,104,6.1,5,0,False,62.61999999999999,1
94,415,No,No,0,104,125,170.9,106,11.1,7,2,False,68.0,1
62,415,No,No,0,91,107,195.2,115,12.2,3,0,False,53.26,3
116,408,No,No,0,93,76,208.0,112,16.2,10,3,False,59.73,3
70,408,No,No,0,122,112,201.2,112,0.0,0,3,False,73.36,3
94,510,Yes,Yes,23,125,136,282.2,103,9.5,5,4,False,67.00999999999999,2
126,415,No,No,0,94,118,136.8,91,11.9,1,5,True,31.05,1
67,408,No,Yes,36,111,94,169.9,103,9.9,12,2,False,50.169999999999995,3
19,408,No,No,0,98,57,214.0,127,14.6,7,2,False,66.83000000000001,2
170,510,Yes,No,0,68,122,134.4,121,8.4,3,3,False,73.32999999999998,1
73,415,No,No,0,145,135,241.2,92,10.8,13,1,False,73.02,1
106,408,No,No,0,74,139,198.5,103,10.2,4,1,False,44.13,3
164,510,No,No,0,111,126,187.1,112,9.0,3,1,False,52.02,2
51,408,No,No,0,109,95,231.2,107,9.1,3,1,False,68.3,3
107,415,No,No,0,85,94,112.2,115,8.9,4,0,False,45.54,2
130,415,No,No,0,109,104,238.0,69,9.5,2,1,False,51.06,3
80,408,No,No,0,74,77,208.2,119,8.8,4,2,False,64.00999999999999,2
94,415,No,No,0,118,88,150.0,131,13.4,2,0,False,51.019999999999996,3
118,408,No,Yes,23,52,111,119.1,88,9.5,4,1,False,71.30999999999999,2
117,415,No,Yes,23,86,86,180.5,92,6.8,6,1,False,58.690000000000005,3
78,415,No,No,0,119,115,261.5,126,9.7,8,0,False,55.32999999999999,1
131,510,Yes,Yes,26,101,97,255.3,127,13.8,7,4,True,81.97999999999999,3
63,408,No,No,0,64,106,245.7,89,13.0,3,0,False,43.73,1
53,415,No,Yes,24,146,136,249.9,96,13.1,5,3,False,58.3,3
62,408,No,No,0,101,93,245.0,131,11.2,1,2,False,72.94,2
97,415,No,No,0,86,94,240.5,110,6.4,8,3,False,65.25,3
105,510,No,No,0,109,51,217.0,83,6.8,3,2,False,50.68,3
157,415,No,No,0,105,80,198.1,93,9.4,4,1,False,59.300000000000004,3
66,415,No,Yes,36,76,77,190.4,117,12.1,2,1,False,47.81,1
38,415,No,No,0,94,95,223.3,90,10.8,5,3,False,61.89,2
106,510,No,No,0,95,70,260.1,124,12.2,5,3,False,64.26,3
99,510,No,No,0,112,89,226.1,89,15.8,7,3,False,72.33,1
144,510,Yes,No,0,100,103,194.3,94,11.9,11,0,False,67.6,1
82,415,No,Yes,24,131,106,122.4,68,10.7,3,1,False,55.559999999999995,2
86,408,No,Yes,31,139,118,246.9,121,12.2,6,1,False,52.49999999999999,1
70,510,Yes,No,0,98,115,73.2,93,17.6,4,2,True,65.97,2
93,415,No,No,0,93,98,225.2,131,11.5,6,3,False,58.9,1
93,415,No,No,0,89,76,172.5,120,10.9,3,0,False,52.279999999999994,2
120,415,No,No,0,80,82,265.4,91,4.7,7,3,False,62.87,2
136,415,No,No,0,121,118,151.0,114,13.0,2,1,True,75.54,3
106,415,No,No,0,121,98,188.7,107,7.1,12,0,False,57.68,2
81,415,No,No,0,116,98,212.2,99,12.2,6,3,False,57.02,3
127,408,No,Yes,22,114,103,244.9,68,10.2,6,1,False,56.81999999999999,1
35,408,No,No,0,113,122,174.3,104,8.9,6,2,False,56.21,3
88,408,No,No,0,97,76,236.0,113,13.8,1,2,False,39.769999999999996,2
123,415,No,No,0,85,78,221.5,136,7.7,2,3,False,68.02,1
126,408,No,Yes,27,78,83,76.5,139,9.6,3,2,False,53.8,1
104,415,No,Yes,23,136,92,136.9,102,13.3,3,4,False,76.12,1
93,408,Yes,No,0,109,100,217.6,74,10.5,2,0,True,76.66999999999999,3
63,415,Yes,Yes,36,110,111,197.6,92,11.0,6,1,False,70.45,3
100,415,No,No,0,96,126,180.9,122,13.5,2,3,False,64.77000000000001,2
53,415,No,No,0,97,87,154.3,113,10.9,2,0,False,57.309999999999995,3
92,415,Yes,No,0,140,105,233.2,117,9.0,5,1,False,62.78,1
110,408,No,Yes,40,103,128,234.9,98,9.0,9,2,False,57.54,2
110,408,No,No,0,117,98,192.2,101,9.8,7,3,False,41.04,1
73,415,No,No,0,86,116,139.8,87,9.4,6,1,False,55.83,2
138,510,No,No,0,89,125,195.3,79,12.9,5,0,False,57.209999999999994,3
137,415,Yes,No,0,95,102,223.1,81,12.3,2,2,True,47.73,3
36,415,No,No,0,77,151,275.8,103,8.4,2,1,False,73.25999999999999,2
85,408,No,No,0,81,63,194.3,110,7.1,2,3,False,63.95,2
108,408,No,No,0,99,60,354.9,75,9.4,3,0,True,75.02000000000001,1
22,408,No,No,0,107,93,202.3,96,9.5,5,0,False,44.57,3
107,415,No,Yes,37,102,80,261.8,106,11.1,3,0,False,33.67,1
51,510,No,No,0,94,58,283.4,66,10.2,5,0,False,64.74000000000001,2
33,415,No,Yes,29,99,80,279.2,79,13.9,11,4,True,53.09,2
106,415,No,No,0,91,109,191.8,143,14.4,7,4,False,62.480000000000004,3
82,408,No,No,0,90,83,172.4,108,9.1,8,3,False,65.21,3
97,415,Yes,No,0,117,82,178.3,81,10.9,3,0,False,58.599999999999994,3
108,510,No,No,0,122,117,231.6,92,9.8,3,1,False,51.28,1
114,415,No,No,0,118,86,193.4,95,14.5,8,1,False,48.260000000000005,3
59,510,No,No,0,79,123,169.4,80,8.7,4,1,False,56.349999999999994,2
24,510,No,Yes,25,110,105,231.2,55,6.7,9,1,False,58.03,3
151,408,No,No,0,88,112,223.9,61,15.4,1,1,False,49.269999999999996,1
117,415,No,No,0,103,108,185.2,96,11.5,3,1,False,53.76,1
114,510,No,Yes,30,79,91,291.6,83,11.4,6,1,False,73.35,2
114,510,No,Yes,28,94,117,232.4,100,8.4,9,4,False,67.52999999999999,1
119,408,No,No,0,89,78,263.9,98,13.5,6,3,False,53.53,2
118,408,Yes,No,0,123,96,184.8,99,9.9,3,2,False,53.1,2
101,415,No,No,0,105,117,249.9,100,14.6,3,0,False,69.42999999999999,2
117,415,No,No,0,121,83,200.9,104,7.7,3,1,False,49.32,2
49,415,No,Yes,28,78,100,206.2,107,8.0,13,3,False,67.88,2
139,415,No,No,0,104,96,203.2,101,13.0,3,3,False,65.35000000000001,2
92,408,No,Yes,28,90,79,239.2,114,10.0,3,1,False,55.71,2
148,510,Yes,No,0,88,85,203.3,99,11.1,4,0,False,67.04,1
131,415,No,Yes,25,85,105,254.2,59,10.9,6,2,False,66.33999999999999,2
146,510,Yes,No,0,135,90,222.7,114,10.5,6,3,False,66.23,2
48,415,No,Yes,37,115,84,144.1,80,12.2,1,1,False,59.35,1
86,415,No,Yes,28,74,100,240.3,105,9.0,2,1,False,75.42000000000002,3
71,415,No,No,0,108,109,281.4,56,6.7,5,3,False,63.540000000000006,2
137,510,No,No,0,122,102,194.5,84,8.8,5,2,False,57.10000000000001,3
137,408,No,No,0,88,86,289.9,84,14.5,4,2,False,69.76,3
167,510,No,No,0,88,63,255.2,98,14.1,5,0,False,61.83,2
132,510,No,No,0,110,80,125.1,124,9.7,3,0,False,36.14,1
94,510,No,No,0,112,112,146.7,108,5.9,4,1,False,54.79,1
96,510,No,Yes,18,86,113,259.5,70,9.8,3,1,False,55.03,1
166,510,No,No,0,115,152,216.8,109,9.5,5,1,False,62.33,2
74,415,No,No,0,83,67,142.4,85,10.1,5,2,False,44.76,1
36,415,No,No,0,117,58,240.4,99,11.9,1,0,False,56.49,3
113,415,No,No,0,129,117,207.1,91,6.6,9,4,False,66.33000000000001,3
67,415,No,No,0,80,81,195.4,111,11.9,4,2,False,50.57,3
158,415,No,No,0,106,114,241.1,89,9.1,4,1,False,65.03,1
136,510,No,No,0,117,77,214.1,90,10.3,10,1,False,49.61000000000001,1
196,415,No,No,0,109,114,173.1,70,9.1,5,2,False,71.24,1
113,415,No,No,0,111,118,213.8,105,8.5,10,1,True,81.0,2
112,510,No,No,0,101,82,183.4,107,11.4,2,0,False,60.559999999999995,1
209,415,No,No,0,128,92,183.5,74,8.9,4,3,False,71.24000000000001,2
62,415,No,No,0,109,118,265.7,78,13.2,2,1,True,76.5,3
110,415,No,Yes,38,102,112,183.5,82,9.7,6,1,False,67.7,3
16,510,No,No,0,69,93,220.1,64,10.9,3,0,False,62.199999999999996,1
73,408,No,No,0,136,122,205.0,77,9.8,4,0,False,51.71,2
128,408,No,No,0,99,107,254.4,111,18.9,2,0,False,55.29,1
39,408,No,No,0,158,120,123.9,46,12.4,3,1,False,45.23,2
103,415,No,Yes,28,105,100,160.5,76,7.7,4,2,False,52.849999999999994,2
119,415,No,Yes,29,66,114,147.6,76,7.6,3,3,False,50.55,1
173,510,No,Yes,21,96,118,273.0,102,5.0,5,3,False,71.16,1
128,510,Yes,Yes,32,81,74,154.9,101,9.4,2,2,True,63.559999999999995,2
86,510,No,No,0,79,97,287.4,78,6.2,3,0,False,66.60000000000001,2
114,415,No,Yes,32,79,105,232.4,89,12.9,3,1,False,50.33,2
104,408,No,No,0,107,113,234.9,74,10.0,3,0,False,58.690000000000005,1
148,415,No,No,0,134,92,251.6,91,11.3,4,1,False,50.0,2
129,408,No,No,0,91,121,245.1,112,13.4,5,3,False,63.01,1
100,510,No,Yes,30,104,107,152.3,118,7.1,3,0,False,37.43,3
143,408,No,Yes,33,109,112,156.3,95,9.5,4,1,False,70.27999999999999,2
76,510,No,No,0,130,86,188.4,96,12.5,3,0,False,64.02,1
158,510,No,No,0,97,77,79.7,108,14.4,12,0,False,62.81,1
116,510,No,No,0,98,135,130.2,94,7.9,2,3,False,67.25,2
54,415,No,No,0,83,74,197.4,111,9.5,2,1,True,78.92999999999999,3
86,415,No,No,0,121,93,138.4,152,12.2,5,7,True,48.080000000000005,2
108,510,No,No,0,99,87,206.3,78,9.3,4,0,False,63.07,2
66,510,No,No,0,95,66,233.2,101,7.5,4,1,False,59.730000000000004,3
151,408,No,Yes,17,97,90,169.1,44,8.6,4,1,False,58.199999999999996,2
99,510,No,No,0,70,77,170.2,104,10.6,2,0,False,62.36,3
55,415,No,No,0,121,110,302.8,136,7.0,7,2,False,63.53,3
78,408,No,No,0,67,127,175.5,102,14.6,2,0,False,67.04,1
89,415,No,No,0,63,71,262.6,126,9.1,1,1,True,65.5,2
101,415,No,No,0,115,101,275.0,145,10.8,11,1,False,68.31,3
44,415,No,Yes,34,105,85,227.7,62,14.0,7,0,False,65.48,1
98,408,No,Yes,21,98,86,244.8,84,0.0,0,2,False,36.97,2
64,510,No,Yes,37,92,103,165.9,99,13.3,3,1,False,44.43000000000001,3
141,415,No,No,0,131,120,135.0,119,7.2,8,3,False,67.47999999999999,1
81,415,No,Yes,33,117,90,261.3,101,12.2,5,1,False,52.98,1
162,510,No,No,0,117,121,186.7,89,10.5,11,1,False,61.92999999999999,2
83,415,No,Yes,41,122,107,127.6,105,13.1,5,3,False,49.58,1
100,510,No,No,0,63,67,243.1,74,12.8,3,4,True,41.57,2
59,510,No,No,0,104,95,229.9,100,11.3,8,4,False,61.83,1
179,415,Yes,Yes,38,78,71,237.3,85,10.1,4,4,False,70.75000000000001,3
79,408,No,No,0,112,132,96.4,87,5.3,3,1,False,46.699999999999996,3
117,415,No,No,0,95,88,204.0,82,14.7,9,2,False,61.44,1
31,415,No,No,0,105,93,213.7,98,12.7,2,1,False,48.029999999999994,3
122,408,No,Yes,23,85,132,122.4,96,8.5,2,2,False,49.93999999999999,1
37,408,Yes,Yes,39,122,75,114.3,90,9.2,4,1,False,51.01,1
90,408,No,Yes,29,109,103,178.4,97,5.8,4,1,False,57.62,3
159,408,Yes,No,0,53,127,183.0,82,8.8,6,1,True,80.86999999999999,2
39,415,No,Yes,36,121,113,222.1,131,12.0,5,1,False,57.07000000000001,3
194,408,No,No,0,88,118,192.1,81,10.9,2,0,False,57.33,2
154,415,No,No,0,75,94,253.9,100,10.1,9,1,True,92.2,2
112,415,No,No,0,96,123,128.6,115,9.1,3,4,False,63.56,3
45,415,No,No,0,127,108,255.0,100,18.0,3,1,False,51.17,3
132,415,No,No,0,110,137,146.7,114,7.6,5,1,False,42.57,3
128,415,No,No,0,99,120,164.9,76,16.0,2,0,False,67.75,2
56,408,No,No,0,110,102,225.3,91,10.6,6,2,False,65.43,1
151,415,Yes,No,0,57,88,269.2,95,12.4,1,0,True,62.24,1
32,415,No,No,0,98,96,167.3,108,14.8,2,2,False,59.09,3
90,415,No,No,0,77,99,276.9,58,9.2,6,2,False,63.31,1
138,415,No,No,0,87,116,187.9,111,11.2,7,2,False,50.52,1
79,408,No,No,0,123,108,226.1,106,6.7,18,1,False,65.18,1
95,415,Yes,No,0,84,112,198.9,89,11.5,2,1,True,64.53,1
127,415,No,No,0,100,113,233.1,96,6.8,4,2,False,63.56000000000001,3
137,510,No,No,0,118,93,218.6,50,14.7,2,3,False,71.21,2
97,415,No,No,0,107,96,240.0,112,14.7,4,1,False,53.75,2
149,415,Yes,No,0,87,81,249.5,92,5.7,4,0,False,55.050000000000004,2
117,415,Yes,Yes,22,82,82,225.6,120,3.7,5,1,False,71.9,2
84,408,No,No,0,125,90,187.9,82,7.2,4,2,False,58.52,3
137,415,No,No,0,113,79,204.7,111,10.7,7,4,False,69.96,3
99,415,No,No,0,64,99,321.3,98,8.9,1,3,False,65.09,3
85,415,No,No,0,95,139,148.2,105,10.7,3,1,False,49.870000000000005,1
150,510,No,No,0,99,73,285.1,100,10.2,6,3,False,57.269999999999996,3
43,415,No,No,0,125,89,214.7,102,11.1,2,1,False,62.00999999999999,2
98,415,No,No,0,92,152,232.8,115,12.4,5,5,False,63.92000000000001,3
112,510,No,No,0,76,100,185.7,91,9.4,3,2,False,65.25,2
16,510,No,No,0,78,108,166.2,91,10.8,2,0,True,66.91000000000001,1
98,415,No,Yes,22,89,143,107.6,42,9.7,5,0,False,62.71,1
84,510,No,No,0,129,112,186.5,118,8.5,4,1,False,52.66,1
66,415,No,No,0,91,68,191.7,118,10.6,5,1,True,59.480000000000004,1
98,415,No,Yes,31,105,98,226.7,110,12.0,1,1,False,52.62,2
74,415,No,No,0,124,94,240.1,112,10.6,3,0,False,60.67,1
119,510,No,No,0,122,107,160.6,112,11.2,6,1,False,62.00000000000001,2
73,415,No,No,0,80,115,201.4,100,7.5,3,4,False,62.84,3
92,415,Yes,No,0,91,115,198.6,73,9.3,5,0,False,70.06,1
21,415,No,No,0,78,79,247.4,108,6.8,7,0,False,47.11000000000001,1
122,510,No,No,0,134,122,197.2,59,8.5,5,4,True,53.599999999999994,2
133,510,Yes,No,0,108,81,135.0,88,10.3,3,1,False,51.86,1
145,415,No,No,0,110,117,167.0,108,4.8,4,2,False,57.50999999999999,3
25,408,No,No,0,90,72,203.0,99,8.4,5,2,False,53.81,2
126,415,No,No,0,112,90,188.3,122,7.0,5,3,False,70.93,3
76,415,No,No,0,77,87,219.4,92,10.0,3,0,False,51.93,2
113,415,No,No,0,47,110,238.4,88,8.7,3,2,True,77.88,2
224,510,Yes,No,0,99,103,212.4,102,5.0,2,1,True,53.67,2
128,408,No,Yes,34,73,79,239.3,81,16.0,6,1,False,55.839999999999996,2
115,415,No,No,0,98,73,212.5,106,7.5,6,2,False,70.69,3
141,415,No,Yes,28,126,126,171.8,124,9.3,11,2,False,67.88000000000001,1
51,510,No,No,0,114,94,77.2,112,15.3,1,1,False,66.75999999999999,3
100,415,No,No,0,122,76,197.3,83,12.5,3,0,False,70.96999999999998,3
96,415,No,Yes,45,124,77,263.6,102,10.3,2,3,False,68.87,2
163,415,No,No,0,129,108,180.2,97,12.5,7,1,False,41.940000000000005,3
67,415,No,Yes,40,65,93,217.4,128,9.6,9,1,False,48.59,2
49,510,No,No,0,69,92,214.4,153,12.4,7,2,False,56.53,2
46,510,No,No,0,100,90,195.0,104,13.3,2,2,True,77.07,3
148,415,No,No,0,98,110,181.0,98,11.4,4,1,False,65.56,1
112,510,No,No,0,77,97,259.2,94,12.8,2,1,False,71.97999999999999,3
78,415,No,No,0,106,101,155.6,125,11.8,5,2,False,51.44,3
61,408,No,Yes,31,101,102,203.2,49,8.6,3,0,False,77.86,2
58,510,No,Yes,29,80,91,164.2,108,11.2,3,1,False,61.39,3
155,415,No,No,0,123,96,214.6,134,8.0,3,1,False,69.78,1
100,510,No,No,0,76,74,219.5,126,8.3,4,0,True,74.39999999999999,3
113,510,No,No,0,93,106,189.4,123,13.5,3,1,False,66.62,2
135,510,No,Yes,27,141,99,245.8,112,12.3,6,1,False,73.94999999999999,3
99,408,No,No,0,93,95,145.7,67,12.4,4,0,False,58.89,2
59,510,No,Yes,29,114,82,131.6,103,6.8,3,1,False,49.190000000000005,3
